warning_code,warning_level,warning_name,affect
50709,2,告警指示信号（AIS）,本地MEP收到服务层发的AIS报文，对端设备故障，如果配置保护，可能导致本端链路切换。
50710,3,近端信号劣化（SD）,远端MEP检测近端丢失率超出门限，收包丢包率超阈值。
50711,3,远端信号劣化,远端MEP检测远端丢失率超出门限范围
50712,2,近端丢帧数越限,近端MEP检测近端丢失数超出门限范围
50713,3,远端丢帧数越限,远端MEP检测远端丢失数超出门限范围
50714,3,不期望的时间周期,本地MEP收到CCM报文，在检测报文时发现Period字段错误，用户两端周期不一致
50715,2,不期望的MEP_ID,本地MEP在检测报文发现用户两端MEPID不匹配
50716,2,不期望的MD层次,本地MEP在检测报文发现用户两端level不一致
50717,2,MAC地址不匹配,本地MEP在解析CCM报文时，发现用户本端设备的远端MEP绑定MAC错误
50718,2,banding链路故障,接收到track通知的绑定的PW侧的链路故障，对端链路发生故障，对端设备故障；如果配置保护，可能导致本端链路切换
50719,2,mapping链路故障,接收track通知的mapping的链路故障，对端链路发生故障，对端设备故障；如果配置保护，可能导致本端链路切换
50720,2,误块秒（ES）越限,对应通道接收到有误码的秒计数越限
50721,2,严重误块秒（SES）越限,该通道接收到有缺陷或者严重误码的秒计数越过门限
50722,2,不可用秒（UAS）越限,本通道UAS计数越限
50723,3,远端不可用秒（FEUAS）越限,本通道FEUAS计数越过门限
50724,3,远端误块秒（FEES）越限,本通道FEES计数越过门限
50725,3,远端严重误块秒（FESES）越限,本通道FESES计数越过门限
50726,2,连续严重误码秒（CSES）越限,该告警指示相应通道连续接收到超过30%的误码或收到通道告警
50727,3,远端连续严重误码秒（FECSES）越限,该告警指示对端设备相应通道连续接收到超过30%的误码或收到通道告警
50812,3,环回开启失败,EFM发现过程还没有完成或者本端为passive模式，环回检测开启失败
50813,3,环回关闭失败,本端环回状态为slave
150106,3,接口二层检测状态Down,对端端口Down，链路中断，被检测的二层链路Down
150107,3,接口三层v4链路Down,对端端口Down， 链路中断，被检测的三层V4链路DOWN
150108,3,接口三层v6链路Down,对端端口Down， 链路中断，被检测的三层v6链路Down
200301,3,创建IPI或BGP或VPN_MGR实例失败,申请内存失败导致创建IPI实例失败；没有ROUTER ID并且无法重新获取导致创建BGP实例失败；初始化VPN_MGR失败导致创建VPN_MGR失败
200312,3,进入VRF的v6路由超限,VRF配置了VPN Route Limit功能，在VRF的v6地址族下非warning-only（例如：VRF v6地址族配置模式下，配置maximum routes 475），当VRF中新路由加入，现有路由数（不包括新路由）达到配置的最大路由上限（第一个参数 ，如4），告警发生。
200801,2,不可用秒开始（UAS）,性能告警
200802,2,不可用秒（UAS）越限,性能告警
200803,2,接收方向带宽利用率越限,性能告警
200804,2,发送方向带宽利用率越限,性能告警
240401,3,隧道倒换事件,隧道保护组工作或保护隧道，检测出链路信号中断或衰减，导致切换或回切；或配置手工切换命令导致的切换回切，导致业务转发路径发生切换
240501,3,复用段保护倒换,主端口出现故障或者APS模式下进行了手动切换，流量由主端口切换到备端口上
240701,2,接收方向带宽利用率越限,性能告警
240702,2,发送方向带宽利用率越限,性能告警
250207,2,PW协商失败,两端PW参数协商不一致引起的PW无法UP，PW无法建立
250209,2,接收方向带宽利用率越限,性能告警
250210,2,发送方向带宽利用率越限,性能告警
250211,2,不可用秒开始（UAS）,性能告警
250212,2,不可用秒（UAS）越限,性能告警
250302,3,FRR切换,检测到被保护的链路故障、被保护的节点故障，流量沿备份隧道转发
250304,3,Hotstandby切换,检测到被保护的路径故障，流量沿备LSP路径转发
250502,2,接收方向带宽利用率越限,性能告警
250503,2,发送方向带宽利用率越限,性能告警
301003,3,父时钟切换,上游同步的时钟发生变化，用户上游变化
303201,1,连通性丢失,PW层连续3个CCM周期没有收到MEG/MEP一致的CCM报文，保护会切换，对端检测有故障
303202,2,错误合并缺陷,PW层收到MEGID不一致的CCM报文，保护会切换，通知对端检测有故障
303203,2,不期望的MEP,PW层收到MEGID一致，MEPID不一致的CCM报文，保护会切换，对端检测有故障
303204,3,不期望的CV包周期,PW层收到MEGID、MEPID一致，Period不一致的CCM，用户周期不一致
303205,2,不期望的PHB,PW层收到MEGID、MEPID一致，PHB不一致的CCM报文，用户PHB不一致
303206,3,远端缺陷指示（RDI）,PW层收到MEGID、MEPID一致，RDI置1的CCM报文，用户对端有故障
303207,3,锁定,PW层接收到LCK报文，或者配置了宿锁定或者双向锁定，流量锁定，抑制本层检测告警。
303208,2,服务层信号失效,服务层有故障，section为LSP的服务层，LSP为PW的服务层，提示用户服务层有故障，通知对端检测有故障。
303209,2,客户信号失效告警（CSF）,客户端有检测故障或者AC Down，提示用户对端客户端有故障，本端的客户端可能会切换
303211,3,近端信号劣化（SD）,PW层近端丢包超过配置的阈值，保护会切换
303212,2,远端信号劣化,PW层远端丢包超过配置的阈值，保护会切换
303213,2,近端丢帧数越限,性能告警
303214,3,远端丢帧数越限,性能告警
303215,3,远端缺陷秒数越限,性能告警
303216,2,近端缺陷秒数越限,性能告警
303217,2,误块秒（ES）越限,性能告警
303218,2,严重误块秒（SES）越限,性能告警
303219,2,不可用秒（UAS）越限,性能告警
303220,3,远端不可用秒（FEUAS）越限,性能告警
303221,3,远端误块秒（FEES）越限,性能告警
303222,3,远端严重误块秒（FESES）越限,性能告警
303223,2,连续严重误码秒越限,性能告警
303224,3,远端连续严重误码秒越限,性能告警
303225,3,不可用秒开始（UAS）,普通告警
303301,1,连通性丢失,LSP层连续3个CCM周期没有收到MEG/MEP一致的CCM报文，保护会切换，通知对端检测有故障。
303302,2,错误合并缺陷,LSP层收到MEGID不一致的CCM报文，保护会切换，通知对端检测有故障。
303303,2,不期望的MEP,LSP层收到MEGID一致，MEPID不一致的CCM报文，保护会切换，通知对端检测有故障
303304,3,不期望的CV包周期,LSP层收到MEGID、MEPID一致，Period不一致的CCM报文，提示用户周期不一致
303305,2,不期望的PHB,LSP层收到MEGID、MEPID一致，PHB不一致的CCM报文，提示用户PHB不一致
303306,3,远端缺陷指示（RDI）,LSP层收到MEGID、MEPID一致，RDI置1的CCM报文，提示用户对端有故障
303307,3,锁定,LSP层接收到LCK报文，或者配置了宿锁定或者双向锁定，流量锁定，抑制本层检测告警
303308,2,服务层信号失效,服务层有故障，section为LSP的服务层，LSP为PW的服务层，用户服务层有故障，对端检测有故障
303311,3,近端信号劣化（SD）,LSP层近端丢包超过配置的阈值，保护会切换
303312,3,远端信号劣化,LSP层远端丢包超过配置的阈值，保护会切换
303313,2,近端丢帧数越限,性能告警
303314,3,远端丢帧数越限,性能告警
303315,3,远端缺陷秒数越限,性能告警
303316,2,近端缺陷秒数越限,性能告警
303317,2,误块秒（ES）越限,性能告警
303318,2,严重误块秒（SES）越限,性能告警
303319,2,不可用秒（UAS）越限,性能告警
303320,3,远端不可用秒（FEUAS）越限,性能告警
303321,3,远端误块秒（FEES）越限,性能告警
303322,3,远端严重误块秒（FESES）越限,性能告警
303323,2,连续严重误码秒越限,性能告警
303324,3,远端连续严重误码秒越限,性能告警
303325,3,不可用秒开始（UAS）,质量服务告警
303401,1,连通性丢失,Section层连续3个CCM周期没有收到MEG/MEP一致的CCM报文，保护会切换，对端检测有故障
303402,2,错误合并缺陷,Section层收到MEGID不一致的CCM报文，保护会切换，对端检测有故障
303403,2,不期望的MEP,Section层收到MEGID一致，MEPID不一致的CCM报文，保护会切换，对端检测有故障
303404,3,不期望的CV包周期,Section层收到MEGID、MEPID一致，Period不一致的CCM报文，用户周期不一致
303405,2,不期望的PHB,Section层收到MEGID、MEPID一致，PHB不一致的CCM报文，用户PHB不一致
303406,3,远端缺陷指示（RDI）,Section层收到MEGID、MEPID一致，RDI置1的CCM报文，用户对端有故障
303407,3,锁定,Section层接收到LCK报文，或者配置了宿锁定或者双向锁定，流量锁定，抑制本层检测告警。
303408,2,服务层信号失效,服务层有故障，section为LSP的服务层，LSP为PW的服务层，用户服务层有故障，对端检测有故障
303411,3,近端信号劣化（SD）,Section层近端丢包超过section层配置的阈值，保护会切换
303412,3,远端信号劣化,Section层远端丢包超过配置的阈值，保护会切换
303413,2,近端丢帧数越限,性能告警
303414,3,远端丢帧数越限,性能告警
303415,3,远端缺陷秒数越限,性能告警
303416,2,近端缺陷秒数越限,性能告警
303417,2,误块秒（ES）越限,性能告警
303418,2,严重误块秒（SES）越限,性能告警
303419,2,不可用秒（UAS）越限,性能告警
303420,3,远端不可用秒（FEUAS）越限,性能告警
303421,3,远端误块秒（FEES）越限,性能告警
303422,3,远端严重误块秒（FESES）越限,性能告警
303423,2,连续严重误码秒越限,性能告警
303424,3,远端连续严重误码秒越限,性能告警
303425,3,不可用秒开始（UAS）,普通告警
360105,2,ZDB文件加载失败,可能多种原因导致ZDB文件加载失败，包括ZDB文件被损坏等，没有恢复上次机上保存的配置
400303,3,风扇告警,风扇实际转速与预期转速不符合，该风扇对应单板散热效果下降
400304,3,电源插拔告警,电源被拔出，机架供电可能不足
400306,3,交/直流电源风扇异常,单板供电可能出现问题
400308,3,交/直流电源限流,单板供电可能出现问题
400309,3,交/直流电源异常,单板供电可能出现问题
400311,3,交/直流输入掉电,单板供电可能出现问题
400312,3,交/直流过温保护,单板供电可能出现问题
400313,3,交流输出过压保护,单板供电可能出现问题
400314,3,交流短路保护,单板供电可能出现问题
400316,3,交/直流电源欠压/过压,单板供电可能出现问题
500102,3,风扇板插拔告警,风扇板被拔出，导致机架内部环境温度过高，可能烧毁设备
500103,3,单板IPMC异常,单板未插IPMC或者单板IPMC死机，环境监控系统无法监控该单板环境信息数据，该槽位对应风扇全速转动
500104,3,智能加载版本升级,用户使用智能加载功能后，OAM有相应通知打印，版本升级成功后，会自动reload替换当前版本为新版本；当升级失败时，对当前系统无影响
500201,3,CAN总线通信错误,CAN总线通信链路硬件存在故障，主备之间环境信息可能无法同步，主用IPMC可能无法接受其他节点的环境信息
500301,3,带外链路通信错误（板卡故障）,带外链路不稳定，告警槽位可能离线
500401,3,环境参数门限告警,当CPU、内存、flash、SD、USB等设备的利用率超出既定配置门限时，上报告警，利用率告警可能导致系统一些进程无法正常运行或者一些文件无法写入
500110,3,电源总功耗利用率过高,新插单板后，总功耗达到当前电源提供的最大值×利用率告警门限，电源供电不足，导致设备故障
500111,3,单板自动下电,新插单板后，电源最大总功耗-电源输出总功耗得到的剩余功耗小于300W，新插单板被自动下电，不能工作
530101,3,光模块温度高阈值,光模块温度高
530107,3,光模块光功率高阈值,光模块光功率高
530108,3,光模块光功率低阈值,光模块光功率低
400318,4,单板温度告警,当温度较低（例如40度），无影响 ；当温度较高，可能烧坏CPU芯片
500701,4,VSC控制链路改变,堆叠系统主链路down ， 启用其他备用链路 ，可能引起堆叠交换机脑裂
500702,4,VSC控制链路中断/恢复 ,链路状态发生改变 ，可能引起堆叠交换机脑裂
500703,4,VSC搭建失败,VSC无法搭建成功，堆叠交换机可能已经发生脑裂
500704,4,VSC Mad冲突 ,分裂的两台设备MAC冲突 
500705,4,VSC Mad退避 ,退避机框上端口被block
500706,4,VSC版本冲突 ,两台VSC设备版本不一致 
500707,4,VSC配置文件错误,VSC配置错误
500708,4,VSC链路Down ,堆叠链路down ，可能引起堆叠交换机脑裂
500709,4,VSC远端机框重启,VSC远端设备重启 
500710,4,VSC远端机框融合,VSC远端设备融合
500711,4,VSC待命板升级为备主控 ,待命板升级为备主控 ，查看是否发生了VSC分裂 ，主备倒换
400123,4,单板离线告警,单板无法正常工作
300201,6,接口VRRP group状态变化,影响VRRP报文的收发情况
300202,6,VRRP非learn模式,Master通告时间可能大于本地配置时间，导致无法协商；如果主备参数一致，则无影响
50101,5,MAC地址数达到全局限制,无法学习新的MAC地址
50103,4,端口MAC保护状态,该端口下无法学习新的MAC地址 
50104,6,MAC地址在端口间迁移,MAC地址所对应的端口发生变化，可能存在环路
100401,5,报文接收数量超限,控制面受到攻击导致流量异常或是限速阈值配置得太小
150401,5,收到报文总字节数超阈值,1. 该接口入向流量过大或过小.2. 接口未UP或已配置shutdown.3. 接口入向带宽利用率设置与实际不符
150402,5,发送报文总字节数超阈值,1. 接口出向流量过大或过小.2. 接口未UP或已配置shutdown.3. 接口出向带宽利用率设置与实际不符。
150403,5,CRC错误报文超阈值,1. 链路CRC错误报文过多.2. 接口未UP或已配置shutdown.3. 接口CRC错误报文阈值设置与实际不符
150404,5,CRC错误报文率超阈值,1. 链路上CRC错误报文过多.2. 接口未UP或已配置shutdown或接口删除.3. 接口CRC错误报文率阈值设置与实际不符
50901,5,端口链路协商不成功,lacp链路协商不成功
